Feature,MeanAbsSHAP,MeanSHAP
Global::Time_In_Normal,0.022624434736484376,0.0005397665213049243
Global::FT3_Current_x_CoreWindow_1M->3M,0.01124111342150365,-0.0005950810254508776
Global::FT4_Current,0.011134527304902228,-0.002215099011354758
Global::Interval_Width,0.010284954962053037,-0.000336566718180289
Global::FT3_Current,0.01010168466703838,-0.002377660970922581
Global::CoreWindow_1M->3M,0.009311306135478191,0.0012792148210482095
Global::Ever_Hypo_Before,0.007824278563971755,0.0005549636609317008
Local::Window_1M->3M,0.007695292157110567,-0.0009071989807689214
Global::Delta_TSH_k0,0.007352974075355065,0.00035570351381355455
Global::Start_Time,0.006629629622579545,-0.0005101172149822703
Global::logTSH_Current,0.006104652543074936,4.7953366950736134e-05
Local::PrevState_1,0.005662129320931934,-8.283266837136103e-05
Global::CoreWindow_3M->6M,0.0051429661103667675,0.0010356930810552856
Local::Window_18M->24M,0.005141115333815542,0.00014053020790379952
Global::FT3_Current_x_CoreWindow_6M->12M,0.005112193653856201,-0.0010648171975290422
Meta::LandmarkObsValue,0.004819711041631357,0.0017421768718723502
Local::FT4_Current,0.004538118738588177,-0.0002721842057117353
Global::Time_In_Normal_x_CoreWindow_6M->12M,0.00436592064844366,-0.0006542512430334649
Local::Window_3M->6M,0.004153978429817862,0.0006788135084872816
Local::Delta_FT4_1step,0.003532804825301769,0.0008446514838570565
Meta::LandmarkObsMask,0.0030916405234579355,4.128035172436152e-05
Local::FT3_Current,0.0029568993230407784,-0.00032562883894456644
Local::Window_6M->12M,0.0024947786991840063,0.0001975956933372533
Local::Delta_TSH_1step,0.0024177586758904017,-0.00026258162972317894
Global::Ever_Hyper_Before,0.0023070573097875744,0.00031157005944738164
Global::Delta_TSH_k0_x_CoreWindow_6M->12M,0.002237532310498357,0.0004769405917807703
Local::PrevState_2,0.0021574279501694418,0.0004588385098536865
Static::ThyroidW,0.0019210801254480414,0.0006754115316853118
Local::logTSH_Current,0.0019100313478389865,6.015289205434611e-06
Static::RAI3d,0.0017440912851745289,6.5595579985079e-05
Local::PrevState_0,0.001612452017306809,-0.00019873933358918383
Static::Exophthalmos,0.0014384474094594377,0.0005110333953940412
Static::Dose,0.0011715288255944296,0.0004384340921147334
Global::Time_In_Normal_x_CoreWindow_3M->6M,0.0011254155256008814,0.00016779897271056662
Global::FT3_Current_x_CoreWindow_3M->6M,0.001121940934148783,-1.3364625101637744e-05
Global::CoreWindow_6M->12M,0.0009773815625838886,0.0001998966944053025
Static::TPOAb,0.0008593641988883132,0.0001194437875737878
Local::Window_12M->18M,0.0007491598963665912,-0.00026619023667811235
Static::BMI,0.000745844480797183,-0.00020732607551330785
Global::Prior_Relapse_Count,0.0006800464368825791,-0.00031347839275910986
Global::Delta_TSH_k0_x_CoreWindow_3M->6M,0.0005151362573107583,0.00020821586556553893
Static::Age,0.00048400631604442467,-1.1754728182247952e-05
Static::Sex,0.00047124276550693055,7.891799536472947e-06
Global::Delta_TSH_k0_x_CoreWindow_1M->3M,0.00046811685596161477,0.00010574794496940899
Static::TGAb,0.0004262136724013618,0.00015622606506590623
Static::Uptake24h,0.0003912837186996694,-0.0003912837186996694
Static::Height,0.00035356433740434817,-0.00010243542191060727
Static::TRAb,0.0003398401403182478,5.01668631569122e-05
Static::TreatCount,0.00026950003334576565,-0.00014470294692495522
Static::MaxUptake,0.0002684649813316959,-9.262277130195255e-05
Static::Weight,0.00022316203657479663,-0.0001552836761813719
Static::HalfLife,0.00013150710213505107,-1.830249709901081e-05
Global::Time_In_Normal_x_CoreWindow_1M->3M,0.0,0.0
