TopK_Percent,FormalWinner,DirectBaseline,RandomBaseline
5,0.19444444444444445,0.16666666666666666,0.05
10,0.2777777777777778,0.25,0.1
15,0.3611111111111111,0.2777777777777778,0.15
20,0.4444444444444444,0.3888888888888889,0.2
25,0.4444444444444444,0.4722222222222222,0.25
30,0.4722222222222222,0.5833333333333334,0.3
35,0.5,0.6388888888888888,0.35
40,0.5555555555555556,0.6944444444444444,0.4
45,0.5833333333333334,0.6944444444444444,0.45
50,0.6666666666666666,0.7777777777777778,0.5
55,0.75,0.8611111111111112,0.55
60,0.7777777777777778,0.8611111111111112,0.6
65,0.8333333333333334,0.8611111111111112,0.65
70,0.9166666666666666,0.9166666666666666,0.7
75,0.9166666666666666,0.9444444444444444,0.75
80,0.9166666666666666,1.0,0.8
85,0.9722222222222222,1.0,0.85
90,0.9722222222222222,1.0,0.9
95,1.0,1.0,0.95
100,1.0,1.0,1.0
