Experiment,Features,Sidecar,Windowed,Fusion_CV_PR_AUC,Val_AUC,Val_PR_AUC,Val_F1,Val_Threshold,Test_AUC,Test_PR_AUC,Test_F1,Test_Recall,Test_Specificity,Test_C_Index,Fusion_Params,Sidecar_CV_PR_AUC,Sidecar_Params
direct_plus_next_hyper_cal,18,next_hyper_calibrated,True,0.31477646789845815,0.8210641971433057,0.31914154834182373,0.3409090909090909,0.13999999999999996,0.8261743928221523,0.28394725977480734,0.2857142857142857,0.5365853658536586,0.8076109936575053,0.7022332506203474,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",0.2815505707134574,"{'lr__l1_ratio': 0.5, 'lr__C': 5}"
direct_plain_only,1,none,False,0.3053969531685136,0.8086642599277978,0.3111191958724257,0.32323232323232326,0.10999999999999997,0.8347857474346413,0.28304898483226015,0.3240223463687151,0.7073170731707317,0.7695560253699789,0.7321871676710386,"{'lr__l1_ratio': 0.5, 'lr__C': 5}",,
direct_plus_landmark_next_combo_cal,18,landmark_next_combo_calibrated,True,0.3153360331136842,0.8209072359127296,0.29891133410512216,0.35051546391752575,0.13499999999999995,0.8278244727478988,0.28815540097966624,0.3157894736842105,0.6585365853658537,0.7822410147991543,0.7118043247075505,"{'lr__l1_ratio': 0.5, 'lr__C': 0.5}",0.2815505707134574,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}"
direct_plus_minimal_combo_cal,18,minimal_combo_calibrated,True,0.3153360331136842,0.8209072359127296,0.29891133410512216,0.35051546391752575,0.13499999999999995,0.8278244727478988,0.28815540097966624,0.3157894736842105,0.6585365853658537,0.7822410147991543,0.7118043247075505,"{'lr__l1_ratio': 0.5, 'lr__C': 0.5}",0.2815505707134574,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}"
direct_windowed_only,11,none,True,0.31431463892148054,0.8066237639303092,0.29674781449382903,0.3333333333333333,0.2699999999999999,0.8318981075645852,0.28926608763224787,0.26666666666666666,0.24390243902439024,0.9492600422832981,0.717653314427508,"{'lr__l1_ratio': 0.7, 'lr__C': 0.05}",,
direct_plus_landmark_prob_raw,18,landmark_prob_raw,True,0.3220357086768974,0.8063098414691572,0.26058333803339645,0.35294117647058826,0.2049999999999999,0.8303511576341979,0.2862352595512369,0.3140495867768595,0.4634146341463415,0.8710359408033826,0.7219071251329315,"{'lr__l1_ratio': 0.7, 'lr__C': 1}",,
direct_plus_landmark_signal_raw,18,landmark_signal_raw,True,0.3186200252726519,0.8116465233087428,0.25323172162583674,0.3448275862068966,0.22999999999999993,0.8345279224462434,0.2892333227748735,0.35398230088495575,0.4878048780487805,0.8900634249471459,0.716589861751152,"{'lr__l1_ratio': 0.5, 'lr__C': 0.5}",,
direct_plus_landmark_signal_cal,18,landmark_signal_calibrated,True,0.3225734350120648,0.8150996703814157,0.2495006469962022,0.3582089552238806,0.2099999999999999,0.8348888774300005,0.2942259420944816,0.3305785123966942,0.4878048780487805,0.8731501057082452,0.7137539879475363,"{'lr__l1_ratio': 0.5, 'lr__C': 5}",0.11458482033232072,"{'lr__l1_ratio': 0.5, 'lr__C': 5}"
direct_plus_landmark_prob_cal,18,landmark_prob_calibrated,True,0.3311424282954753,0.8063098414691571,0.24507163368845247,0.35714285714285715,0.22999999999999993,0.8247305728871243,0.2779862823243368,0.3063063063063063,0.4146341463414634,0.8879492600422833,0.7128677773839064,"{'lr__l1_ratio': 0.5, 'lr__C': 5}",0.1356295150645441,"{'lr__l1_ratio': 0.7, 'lr__C': 5}"
