Split,Task,Metric,Value
Validation,HazardRaw,AUC,0.8086642599277978
Validation,HazardRaw,PR-AUC,0.3111191958724257
Validation,HazardRaw,Accuracy,0.7766666666666666
Validation,HazardRaw,F1,0.32323232323232326
Validation,HazardRaw,Threshold,0.5349999999999998
Validation,HazardStage2Best,AUC,0.8210641971433057
Validation,HazardStage2Best,PR-AUC,0.31914154834182373
Validation,HazardStage2Best,Accuracy,0.8066666666666666
Validation,HazardStage2Best,F1,0.3409090909090909
Validation,HazardStage2Best,Threshold,0.13999999999999996
Validation,HazardStage2Best,BestExperiment,direct_plus_next_hyper_cal
Validation,Landmark3M,AUC,0.9828767123287672
Validation,Landmark3M,PR-AUC,0.9408716741640923
Validation,Landmark3M,Accuracy,0.9381443298969072
Validation,NextState,Accuracy,0.6966666666666667
Validation,NextState,Balanced Accuracy,0.5974707461084273
Validation,NextState,Macro-F1,0.5010075859749062
TemporalTest,HazardRaw,AUC,0.8347857474346413
TemporalTest,HazardRaw,PR-AUC,0.28304898483226015
TemporalTest,HazardRaw,Accuracy,0.7665369649805448
TemporalTest,HazardRaw,F1,0.3258426966292135
TemporalTest,HazardRaw,Recall,0.7073170731707317
TemporalTest,HazardRaw,Specificity,0.7716701902748414
TemporalTest,HazardStage2Best,AUC,0.8261743928221523
TemporalTest,HazardStage2Best,PR-AUC,0.28394725977480734
TemporalTest,HazardStage2Best,Accuracy,0.7859922178988327
TemporalTest,HazardStage2Best,F1,0.2857142857142857
TemporalTest,HazardStage2Best,Recall,0.5365853658536586
TemporalTest,HazardStage2Best,Specificity,0.8076109936575053
TemporalTest,HazardStage2Best,BestExperiment,direct_plus_next_hyper_cal
TemporalTest,Landmark3M,AUC,0.9557603686635945
TemporalTest,Landmark3M,PR-AUC,0.868578975772314
TemporalTest,Landmark3M,Accuracy,0.89937106918239
TemporalTest,NextState,Accuracy,0.6731517509727627
TemporalTest,NextState,Balanced Accuracy,0.5748592221124703
TemporalTest,NextState,Macro-F1,0.4853648550015131
