Group,Interval_Name,n,positives,AUC,PR_AUC,Brier,Recall,Specificity,Calibration_Intercept,Calibration_Slope,Threshold
direct,1M->3M,68,17,0.5155709342560555,0.2570337976018656,0.20536639258340708,0.5882352941176471,0.37254901960784315,-1.2038400346134575,-0.07174796997704397,0.14999999999999997
direct,3M->6M,71,10,0.639344262295082,0.44022189879086426,0.11178735802895459,0.6,0.5901639344262295,-0.7099413948762391,0.7119547578044183,0.14999999999999997
direct,6M->12M,110,8,0.8700980392156863,0.460180002763958,0.05302584144198655,0.75,0.8725490196078431,0.2992656288353911,1.4276534760644901,0.14999999999999997
direct,12M->18M,128,2,0.7460317460317459,0.043498168498168496,0.018067751758682808,0.0,0.9682539682539683,-2.048445653547235,0.6510480428013786,0.14999999999999997
direct,18M->24M,137,4,0.9605263157894737,0.48942307692307696,0.02249408079822348,0.25,0.9924812030075187,2.0494844017884786,1.722386258656812,0.14999999999999997
current_binary_stage1_reference,1M->3M,68,17,0.5409457900807382,0.2661451761179159,0.191538474317133,0.9411764705882353,0.19607843137254902,-0.6108386350453313,0.3486043177299811,0.14999999999999997
current_binary_stage1_reference,3M->6M,71,10,0.6508196721311476,0.4459020039566043,0.10983121092346973,0.5,0.639344262295082,0.003608195537767549,1.0326341238266998,0.14999999999999997
current_binary_stage1_reference,6M->12M,110,8,0.8651960784313726,0.4503940308517773,0.05561950136425207,0.75,0.8431372549019608,1.4734893634249877,2.0071377744537724,0.14999999999999997
current_binary_stage1_reference,12M->18M,128,2,0.7380952380952381,0.04327731092436975,0.01773726829801964,0.0,0.9682539682539683,-1.9258872451182512,0.7108160760748193,0.14999999999999997
current_binary_stage1_reference,18M->24M,137,4,0.9530075187969925,0.4930555555555556,0.02327671228376681,0.25,0.9924812030075187,2.912139589802351,2.1172186662522026,0.14999999999999997
binary_interval_intercept,1M->3M,68,17,0.5155709342560554,0.25856264259110645,0.19448311109482908,0.9411764705882353,0.09803921568627451,-1.1285148078054785,-0.02073813264962461,0.12999999999999998
binary_interval_intercept,3M->6M,71,10,0.6409836065573771,0.4416461412151067,0.11102968592360646,0.6,0.5737704918032787,0.31626405025265897,1.1720727712513475,0.12999999999999998
binary_interval_intercept,6M->12M,110,8,0.8700980392156863,0.45924873737373734,0.055459067354198054,0.75,0.8627450980392157,1.6079274490249238,2.0425122510736795,0.12999999999999998
binary_interval_intercept,12M->18M,128,2,0.7222222222222222,0.04091591591591592,0.017659698331873957,0.0,0.9523809523809523,-1.8774487662004593,0.7411649789937551,0.12999999999999998
binary_interval_intercept,18M->24M,137,4,0.9605263157894737,0.5089285714285714,0.02346359194631965,0.25,0.9849624060150376,3.193997050559167,2.238247427970354,0.12999999999999998
binary_interval_slope,1M->3M,68,17,0.4694348327566321,0.24617387122633216,0.19310654727457233,0.8823529411764706,0.1568627450980392,-1.7471160971213,-0.4576493611975236,0.15999999999999998
binary_interval_slope,3M->6M,71,10,0.6295081967213115,0.3997934038133675,0.11266946211921147,0.6,0.7049180327868853,-0.56455266248511,0.6976984670042679,0.15999999999999998
binary_interval_slope,6M->12M,110,8,0.8786764705882353,0.4418750268292602,0.05477590906956144,0.75,0.8431372549019608,0.4352299261477702,1.576743041229947,0.15999999999999998
binary_interval_slope,12M->18M,128,2,0.753968253968254,0.04487179487179487,0.016463817270364653,0.0,1.0,-1.3067269933935348,0.8287396923079174,0.15999999999999998
binary_interval_slope,18M->24M,137,4,0.956766917293233,0.5,0.02331085875615531,0.25,0.9849624060150376,1.240083461910043,1.1316825852028332,0.15999999999999998
binary_early_late,1M->3M,68,17,0.5144175317185697,0.2570968934998711,0.19445276766298147,0.9411764705882353,0.17647058823529413,-1.1178145587619066,-0.012996507326613163,0.13999999999999999
binary_early_late,3M->6M,71,10,0.6344262295081967,0.4383756062508598,0.11035971716174488,0.6,0.5573770491803278,0.0735153435595223,1.1014202779853965,0.13999999999999999
binary_early_late,6M->12M,110,8,0.8713235294117647,0.45764617327117324,0.055892383179971736,0.75,0.8725490196078431,1.7243188465798036,2.1615874441634104,0.13999999999999999
binary_early_late,12M->18M,128,2,0.7103174603174603,0.03840579710144927,0.01824553042776615,0.0,0.9365079365079365,-2.0902137309054147,0.6518468925951265,0.13999999999999999
binary_early_late,18M->24M,137,4,0.9379699248120301,0.44545454545454544,0.023541787366901844,0.25,0.9774436090225563,2.29272972090756,1.9204503035348246,0.13999999999999999
binary_interval_intercept_calibrated,1M->3M,68,17,0.5144175317185697,0.2574244195168365,0.19472842215101988,0.9411764705882353,0.11764705882352941,-1.2784630980342,-0.12418953637630045,0.13999999999999999
binary_interval_intercept_calibrated,3M->6M,71,10,0.639344262295082,0.4407230642920298,0.10767769277832549,0.6,0.6229508196721312,-0.023582072280856403,1.034889487193061,0.13999999999999999
binary_interval_intercept_calibrated,6M->12M,110,8,0.8700980392156863,0.460180002763958,0.0552919336866605,0.75,0.8921568627450981,1.7040341886551098,1.994475496009259,0.13999999999999999
binary_interval_intercept_calibrated,12M->18M,128,2,0.738095238095238,0.04230769230769231,0.01714132287417363,0.0,0.9682539682539683,-1.4797846927123643,0.8736182640584802,0.13999999999999999
binary_interval_intercept_calibrated,18M->24M,137,4,0.9605263157894737,0.48942307692307696,0.0237591920032591,0.25,0.9924812030075187,3.6652877763480247,2.3482022524425314,0.13999999999999999
binary_rule_aux,1M->3M,68,17,0.5144175317185697,0.25816996968483985,0.19426139529062086,0.9411764705882353,0.11764705882352941,-1.0761537877135354,0.015533188963763506,0.12999999999999998
binary_rule_aux,3M->6M,71,10,0.639344262295082,0.4160765996455651,0.11161361332347074,0.6,0.5573770491803278,0.2678202503673737,1.1475689683808454,0.12999999999999998
binary_rule_aux,6M->12M,110,8,0.8676470588235294,0.45880310457516343,0.05562129254161729,0.75,0.8431372549019608,1.6135337250284951,2.060048228851683,0.12999999999999998
binary_rule_aux,12M->18M,128,2,0.7301587301587301,0.04173290937996821,0.01770495454204143,0.0,0.9523809523809523,-1.8495630581467473,0.7518680430719225,0.12999999999999998
binary_rule_aux,18M->24M,137,4,0.9624060150375939,0.5144230769230769,0.023429569332413882,0.25,0.9849624060150376,3.1287210804137,2.2217307838624407,0.12999999999999998
binary_early_late_calibrated,1M->3M,68,17,0.5132641291810842,0.2558935382856255,0.19504531969353497,0.8235294117647058,0.21568627450980393,-1.2168451441091614,-0.08229543287193339,0.14999999999999997
binary_early_late_calibrated,3M->6M,71,10,0.639344262295082,0.44022189879086426,0.10943686562628363,0.6,0.6557377049180327,0.19857190719637063,1.1711993143440012,0.14999999999999997
binary_early_late_calibrated,6M->12M,110,8,0.8713235294117647,0.45764617327117324,0.05642526030618901,0.75,0.8823529411764706,2.03846766336452,2.320403229403913,0.14999999999999997
binary_early_late_calibrated,12M->18M,128,2,0.7341269841269841,0.041770057899090156,0.01725208723700202,0.0,0.9682539682539683,-1.7698221374527514,0.7393914072899882,0.14999999999999997
binary_early_late_calibrated,18M->24M,137,4,0.9492481203007519,0.5228696741854637,0.02374642900944743,0.25,0.9924812030075187,3.0718166046148445,2.0999411166259754,0.14999999999999997
