feature,coef,abs_coef,family,pretty_feature,odds_ratio,is_active,direction,family_order
Direct_x_Physio_Main,-0.6303939972133228,0.6303939972133228,Other,Direct x Physio Main,0.532382002654159,True,Risk down,6
Direct_Logit,0.49461005455257195,0.49461005455257195,Other,Direct Logit,1.6398586589459907,True,Risk up,6
Interval_Name_1M->3M_x_Direct_Logit,-0.0711439175348359,0.0711439175348359,Other,Interval Name 1M->3M x Direct Logit,0.9313278480741597,True,Risk down,6
Interval_Name_12M->18M,0.0,0.0,Other,Interval Name 12M->18M,1.0,False,Zeroed,6
Interval_Name_12M->18M_x_Direct_Logit,0.0,0.0,Other,Interval Name 12M->18M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_12M->18M_x_Physio_Main_Logit,0.0,0.0,Other,Interval Name 12M->18M x Physio Main Logit,1.0,False,Zeroed,6
Interval_Name_18M->24M,0.0,0.0,Other,Interval Name 18M->24M,1.0,False,Zeroed,6
Interval_Name_18M->24M_x_Direct_Logit,0.0,0.0,Other,Interval Name 18M->24M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_18M->24M_x_Physio_Main_Logit,0.0,0.0,Other,Interval Name 18M->24M x Physio Main Logit,1.0,False,Zeroed,6
Interval_Name_1M->3M,0.0,0.0,Other,Interval Name 1M->3M,1.0,False,Zeroed,6
Interval_Name_1M->3M_x_Physio_Main_Logit,0.0,0.0,Other,Interval Name 1M->3M x Physio Main Logit,1.0,False,Zeroed,6
Interval_Name_3M->6M,0.0,0.0,Other,Interval Name 3M->6M,1.0,False,Zeroed,6
Interval_Name_3M->6M_x_Direct_Logit,0.0,0.0,Other,Interval Name 3M->6M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_3M->6M_x_Physio_Main_Logit,0.0,0.0,Other,Interval Name 3M->6M x Physio Main Logit,1.0,False,Zeroed,6
Interval_Name_6M->12M,0.0,0.0,Other,Interval Name 6M->12M,1.0,False,Zeroed,6
Interval_Name_6M->12M_x_Direct_Logit,0.0,0.0,Other,Interval Name 6M->12M x Direct Logit,1.0,False,Zeroed,6
Interval_Name_6M->12M_x_Physio_Main_Logit,0.0,0.0,Other,Interval Name 6M->12M x Physio Main Logit,1.0,False,Zeroed,6
Physio_Main_Logit,0.0,0.0,Other,Physio Main Logit,1.0,False,Zeroed,6
