Group,Family,Best_Model,AUC,PR_AUC,C_Index,Brier,Calibration_Intercept,Calibration_Slope,Threshold,Note
fusion_committee_g234,deep_fusion,Calibrated,0.8469035218893415,0.35122270363743474,0.7621410847217299,0.06264854135218714,0.22811162654982486,1.1937215449144536,0.13999999999999999,"members=Champion,Direct,committee_g234; best=deep_fusion_committee_g234_fs_cal_interval"
fusion_sep_g2344,deep_fusion,Linear,0.8501005517454752,0.34384620385512993,0.7525700106345268,0.06219668558842496,0.3708430003859829,1.2456940097640006,0.12999999999999998,"members=Champion,Direct,g2_nh,g3_n,g4_n,g4_nh; best=deep_fusion_sep_g2344_fs_raw"
fusion_committee_g2344,deep_fusion,Linear,0.8446346619914402,0.33984349926281204,0.7309464728819568,0.06733375841695237,4.2497524096587105,2.960454230036384,0.09,"members=Champion,Direct,committee_g2344; best=deep_fusion_committee_g2344_nofs_raw"
fusion_sep_g34,deep_fusion,Calibrated,0.8468003918939824,0.3376586345631076,0.7525700106345268,0.06308737697310685,0.3230273220846462,1.2320169082595873,0.13999999999999999,"members=Champion,Direct,g3_n,g4_nh; best=deep_fusion_sep_g34_fs_cal_interval"
fusion_committee_g34,deep_fusion,Linear,0.84102511215387,0.3362205385886003,0.7215526409074796,0.06770347187039362,4.687320493177694,3.1495971311198754,0.09,"members=Champion,Direct,committee_g34; best=deep_fusion_committee_g34_nofs_raw"
baseline_windowed_direct,baseline,Logistic Reg.,0.84102511215387,0.3362205385886003,0.7215526409074796,0.06438215626894699,-0.11746860103209569,1.0301395816300172,0.14999999999999997,windowed direct anchor baseline
committee_g234,committee_sidecar,Linear,0.8282885577270149,0.33550594012349055,0.7913860333215172,0.06881586137974607,6.493665988908006,3.8768754769811333,0.09999999999999999,"members=g2_nh,g3_n,g4_nh; best=deep_committee_g234_fs_raw"
committee_g2344,committee_sidecar,Calibrated,0.82766977775486,0.32584984106125814,0.7782701169797944,0.06349091723026043,-0.16247420096362797,0.9991742205404828,0.15999999999999998,"members=g2_nh,g3_n,g4_n,g4_nh; best=deep_committee_g2344_fs_cal_interval"
fusion_sep_g234,deep_fusion,Linear,0.8458722219357501,0.32051248061520415,0.7383906416164481,0.06689519821203305,3.701385547940626,2.716511449620039,0.09,"members=Champion,Direct,g2_nh,g3_n,g4_nh; best=deep_fusion_sep_g234_nofs_raw"
committee_g23,committee_sidecar,Linear,0.8314855875831485,0.3091077117178178,0.7568238213399504,0.06354513875932981,0.4974465946510853,1.290433574952955,0.12999999999999998,"members=g2_nh,g3_n; best=deep_committee_g23_fs_raw"
baseline_champion_best,baseline,phase,0.8363842623627082,0.27843265428085884,0.728287841191067,0.06679174887059104,-0.30899100193755996,0.9895657676295124,0.12999999999999998,best calibrated champion baseline
committee_g34,committee_sidecar,Calibrated,0.8023513638941886,0.25664794504138316,0.7426444523218717,0.06761998187115757,-0.08740695095895168,1.0077048960188,0.11999999999999998,"members=g3_n,g4_nh; best=deep_committee_g34_nofs_cal_phase"
